                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8415,                 2.4682,                 2.6387,                0.27934,                0.31162,                0.17648,                0.07866,                 2.3873,                 2.7816,                 2.4384,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.3535,                 0.8184,                 1.6601,                0.40678,                0.43787,                0.29738,                  0.109,                 1.9967,                 2.5212,                 2.0121,              0.0065319,              0.0065319,              0.0065319
                      3,                 1.2227,                0.64458,                  1.499,                 0.3187,                0.37358,                0.21727,                0.08951,                 1.9218,                 2.6838,                 2.0194,              0.0096013,              0.0096013,              0.0096013
                      4,                  1.156,                0.57076,                 1.4404,                0.38496,                0.34443,                0.27047,                0.13235,                 1.8566,                 2.9084,                 1.8711,               0.009406,               0.009406,               0.009406
                      5,                 1.1057,                0.52871,                 1.3963,                0.56892,                0.58572,                0.55843,                0.22935,                 1.8119,                 1.8555,                 1.8937,               0.009208,               0.009208,               0.009208
                      6,                 1.0681,                0.49839,                 1.3659,                0.68456,                0.75642,                0.72763,                0.35049,                 1.7034,                 1.2917,                 1.8041,                0.00901,                0.00901,                0.00901
                      7,                 1.0554,                 0.4838,                 1.3545,                0.54944,                0.68315,                0.60488,                0.26367,                 1.6731,                 1.5623,                 1.7244,               0.008812,               0.008812,               0.008812
                      8,                 1.0473,                0.46957,                 1.3433,                0.58288,                0.71453,                0.60948,                0.24456,                 1.8085,                 1.5491,                 1.8957,               0.008614,               0.008614,               0.008614
                      9,                 1.0326,                0.45867,                 1.3287,                0.72791,                0.80037,                0.76298,                0.36415,                 1.4668,                 1.1396,                 1.5955,               0.008416,               0.008416,               0.008416
                     10,                 1.0235,                0.45168,                 1.3228,                0.73264,                0.79573,                0.80906,                  0.351,                 1.6876,                  1.147,                 1.7733,               0.008218,               0.008218,               0.008218
                     11,                 1.0116,                0.44062,                  1.315,                 0.8679,                0.91013,                0.92108,                0.60745,                 1.1998,                0.76807,                 1.4145,                0.00802,                0.00802,                0.00802
                     12,                 1.0068,                0.43091,                 1.3068,                0.54082,                0.72087,                0.58298,                0.29096,                 1.5055,                 1.6063,                 1.6355,               0.007822,               0.007822,               0.007822
                     13,                 1.0049,                0.42959,                 1.3041,                0.71544,                 0.8365,                0.80174,                 0.3872,                  1.553,                 1.1233,                 1.6842,               0.007624,               0.007624,               0.007624
                     14,                0.99458,                0.42298,                 1.3007,                0.76829,                0.83142,                0.83753,                0.53474,                 1.2701,                0.87409,                 1.4635,               0.007426,               0.007426,               0.007426
                     15,                0.99042,                0.42012,                  1.295,                0.78561,                0.86908,                0.87602,                0.52087,                 1.3046,                0.97462,                 1.4895,               0.007228,               0.007228,               0.007228
                     16,                0.98467,                0.41359,                 1.2868,                0.77082,                0.85394,                0.85815,                0.55911,                 1.1564,                0.90848,                 1.3712,                0.00703,                0.00703,                0.00703
                     17,                0.98605,                0.40955,                 1.2905,                0.70051,                0.80639,                0.74173,                0.43996,                 1.3435,                 1.2046,                 1.5004,               0.006832,               0.006832,               0.006832
                     18,                0.98263,                0.40846,                 1.2849,                0.77002,                0.87312,                 0.8518,                0.52674,                 1.3178,                0.88408,                 1.4892,               0.006634,               0.006634,               0.006634
                     19,                0.97709,                0.40261,                 1.2792,                0.68863,                0.80554,                0.77752,                0.45861,                 1.3282,                 1.1929,                 1.4973,               0.006436,               0.006436,               0.006436
                     20,                0.96997,                0.39862,                 1.2808,                0.72609,                0.80021,                0.81827,                0.50476,                 1.3006,                0.98595,                 1.4753,               0.006238,               0.006238,               0.006238
                     21,                0.96947,                0.39433,                 1.2734,                0.80336,                0.85248,                0.87397,                0.54418,                 1.2967,                0.95222,                 1.4649,                0.00604,                0.00604,                0.00604
                     22,                0.96657,                0.39207,                 1.2709,                0.80725,                 0.8517,                0.84218,                0.55706,                 1.1909,                 1.0949,                 1.3914,               0.005842,               0.005842,               0.005842
                     23,                0.96453,                 0.3918,                 1.2759,                0.75778,                0.85414,                0.82764,                0.53314,                 1.2594,                  1.034,                 1.4406,               0.005644,               0.005644,               0.005644
                     24,                0.96155,                 0.3885,                 1.2729,                0.82315,                0.85066,                0.84658,                0.55249,                 1.2486,                 1.0451,                 1.4432,               0.005446,               0.005446,               0.005446
                     25,                0.95828,                0.38694,                 1.2671,                0.77961,                0.73646,                0.76485,                0.50006,                 1.2391,                 1.5554,                  1.446,               0.005248,               0.005248,               0.005248
                     26,                0.95764,                0.38139,                 1.2669,                0.80537,                0.87557,                0.88185,                0.57829,                 1.2019,                0.91059,                 1.4022,                0.00505,                0.00505,                0.00505
                     27,                0.95328,                0.38019,                 1.2624,                0.85185,                0.87354,                0.88975,                0.59974,                 1.2068,                0.99984,                  1.404,               0.004852,               0.004852,               0.004852
