                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
46,1.0027,0.42873,1.3085,0.65419,0.73752,0.70105,0.33525,1.6391,1.4703,1.7227,0.007624,0.007624,0.007624
47,0.99442,0.42339,1.3036,0.69856,0.75577,0.72713,0.438,1.3461,1.3531,1.5081,0.007426,0.007426,0.007426
48,0.99007,0.42171,1.2979,0.68228,0.81368,0.77122,0.37083,1.6268,1.2277,1.7145,0.007228,0.007228,0.007228
49,0.98465,0.41368,1.291,0.7822,0.84816,0.84564,0.53956,1.2591,0.93527,1.4331,0.00703,0.00703,0.00703
50,0.98379,0.41037,1.2935,0.70724,0.77065,0.74638,0.43933,1.4382,1.2663,1.5734,0.006832,0.006832,0.006832
51,0.98068,0.40842,1.2874,0.80157,0.82398,0.8575,0.53506,1.3312,0.98597,1.4905,0.006634,0.006634,0.006634
52,0.97404,0.40387,1.2786,0.71934,0.81272,0.80456,0.46316,1.4294,1.2065,1.5453,0.006436,0.006436,0.006436
53,0.96753,0.40014,1.2833,0.80423,0.83753,0.8691,0.55306,1.2762,0.94315,1.4527,0.006238,0.006238,0.006238
54,0.96986,0.39673,1.2786,0.82841,0.85362,0.87384,0.56589,1.2665,1.0771,1.4535,0.00604,0.00604,0.00604
55,0.96523,0.39476,1.2744,0.80218,0.84284,0.84715,0.53834,1.2868,1.0251,1.4535,0.005842,0.005842,0.005842
56,0.96569,0.39363,1.2794,0.78256,0.79719,0.82683,0.51222,1.3679,1.2533,1.5113,0.005644,0.005644,0.005644
57,0.96162,0.38897,1.2748,0.80509,0.80267,0.83097,0.53016,1.2964,1.2884,1.4772,0.005446,0.005446,0.005446
58,0.95782,0.38882,1.2695,0.82055,0.83024,0.85846,0.55929,1.2882,1.1083,1.4675,0.005248,0.005248,0.005248
59,0.95829,0.38265,1.2719,0.79282,0.86709,0.86202,0.52984,1.3175,0.96029,1.4703,0.00505,0.00505,0.00505
60,0.95354,0.38081,1.2676,0.83294,0.87523,0.89322,0.57986,1.2636,0.8745,1.4316,0.004852,0.004852,0.004852
61,0.95202,0.38034,1.2649,0.83956,0.89174,0.9132,0.6015,1.2299,0.79868,1.4207,0.004654,0.004654,0.004654
62,0.94771,0.37539,1.2579,0.82078,0.86566,0.88896,0.5861,1.2253,0.90394,1.4137,0.004456,0.004456,0.004456
63,0.94797,0.37419,1.2612,0.79961,0.83896,0.87771,0.56434,1.2891,0.93505,1.4547,0.004258,0.004258,0.004258
64,0.94329,0.3721,1.2563,0.777,0.85108,0.8652,0.5547,1.2823,0.98656,1.4526,0.00406,0.00406,0.00406
65,0.94269,0.3702,1.2535,0.83438,0.86947,0.89422,0.58802,1.2413,0.93455,1.4327,0.003862,0.003862,0.003862
66,0.93909,0.36828,1.2528,0.81863,0.85529,0.88378,0.58175,1.2497,0.9923,1.4363,0.003664,0.003664,0.003664
67,0.93557,0.36325,1.2517,0.87154,0.89238,0.92361,0.62493,1.2058,0.86216,1.4013,0.003466,0.003466,0.003466
68,0.93588,0.36319,1.2504,0.85014,0.88526,0.91714,0.60931,1.2329,0.85456,1.421,0.003268,0.003268,0.003268
69,0.92893,0.36041,1.2477,0.85154,0.87708,0.91153,0.60117,1.2666,0.90556,1.44,0.00307,0.00307,0.00307
70,0.92906,0.35868,1.247,0.84938,0.88532,0.90965,0.60898,1.23,0.90632,1.4099,0.002872,0.002872,0.002872
71,0.9249,0.35414,1.2421,0.83749,0.87748,0.89361,0.59158,1.2411,0.95161,1.4179,0.002674,0.002674,0.002674
72,0.92524,0.35503,1.2411,0.84467,0.87835,0.89872,0.59649,1.232,0.9204,1.4111,0.002476,0.002476,0.002476
73,0.92558,0.35222,1.2446,0.85323,0.89287,0.9128,0.61256,1.211,0.85397,1.3941,0.002278,0.002278,0.002278
